epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6544,1.58798,2.45138,1.85973,0.19496,0.24908,0.1834,0.07828,1.89093,2.34931,2.06342,0.000554773,0.000554773,0.000554773
2,145.605,1.86678,2.51552,2.04804,0.02472,0.26471,0.02356,0.00979,1.99264,22.6192,2.13717,0.00109945,0.00109945,0.00109945
3,214.981,1.8105,2.44031,1.98967,0.62354,0.21324,0.12323,0.05363,1.87198,2.82386,1.93766,0.00163312,0.00163312,0.00163312
4,288.008,1.80196,2.49879,1.98772,0.51587,0.20261,0.25467,0.11687,1.84282,2.30816,1.99471,0.00161749,0.00161749,0.00161749
5,360.81,1.71775,2.32397,1.92398,0.13391,0.27718,0.1048,0.04931,1.8743,2.19429,1.98957,0.00160099,0.00160099,0.00160099
6,433.806,1.68906,2.27198,1.89815,0.47235,0.4085,0.26594,0.11872,1.67021,2.10664,1.84143,0.00158448,0.00158448,0.00158448
7,506.56,1.61416,2.15801,1.81621,0.32194,0.31895,0.31909,0.14275,1.7197,1.9414,1.83634,0.00156798,0.00156798,0.00156798
8,579.348,1.57309,2.09166,1.8002,0.282,0.40945,0.33157,0.16319,1.75383,1.70606,1.84162,0.00155148,0.00155148,0.00155148
9,649.859,1.52706,2.02844,1.76831,0.7904,0.32353,0.33823,0.1967,1.52922,1.71319,1.66082,0.00153497,0.00153497,0.00153497
10,719.689,1.48976,1.96361,1.7364,0.82067,0.27941,0.33815,0.17049,1.55382,2.1566,1.68665,0.00151847,0.00151847,0.00151847
11,788.965,1.48184,1.91073,1.71571,0.28465,0.37894,0.32923,0.18932,1.46033,1.77439,1.64746,0.00150197,0.00150197,0.00150197
12,859.895,1.44021,1.82983,1.6854,0.79998,0.35287,0.37084,0.18738,1.57393,1.64419,1.68011,0.00148546,0.00148546,0.00148546
13,933.125,1.41589,1.82261,1.66522,0.29379,0.34559,0.29614,0.16164,1.52583,1.7424,1.57415,0.00146896,0.00146896,0.00146896
14,1005.9,1.40148,1.75296,1.65968,0.36935,0.43791,0.35854,0.19138,1.52741,1.59193,1.6173,0.00145246,0.00145246,0.00145246
15,1081.12,1.41144,1.73175,1.66442,0.51549,0.46405,0.40965,0.20971,1.57747,1.7396,1.6786,0.00143595,0.00143595,0.00143595
16,1151.19,1.37547,1.69724,1.65081,0.34061,0.54493,0.38366,0.19788,1.49337,1.76836,1.62133,0.00141945,0.00141945,0.00141945
17,1220.85,1.33006,1.63318,1.59931,0.48699,0.58578,0.48299,0.2426,1.52815,1.50777,1.56821,0.00140295,0.00140295,0.00140295
18,1291.59,1.35976,1.65548,1.61891,0.39288,0.43791,0.48522,0.25351,1.47688,1.56922,1.61298,0.00138644,0.00138644,0.00138644
19,1364.65,1.35045,1.62556,1.6246,0.41535,0.51552,0.45243,0.22007,1.49987,1.58498,1.53216,0.00136994,0.00136994,0.00136994
20,1438.29,1.29279,1.5643,1.58933,0.49654,0.52026,0.49621,0.25198,1.47769,1.55234,1.59743,0.00135344,0.00135344,0.00135344
21,1510.77,1.29663,1.59784,1.58565,0.41512,0.46656,0.48532,0.27022,1.38599,1.4008,1.48891,0.00133693,0.00133693,0.00133693
22,1579.71,1.28012,1.56558,1.57343,0.35665,0.55229,0.42838,0.22756,1.47727,1.6048,1.52191,0.00132043,0.00132043,0.00132043
23,1648.41,1.28955,1.5119,1.57337,0.39974,0.51552,0.47007,0.22511,1.43794,1.54807,1.57017,0.00130393,0.00130393,0.00130393
24,1717.72,1.27073,1.49655,1.56306,0.84278,0.40114,0.50534,0.26192,1.45076,1.29923,1.50634,0.00128742,0.00128742,0.00128742
25,1789.05,1.27199,1.48363,1.56095,0.39273,0.46732,0.47482,0.26098,1.4281,1.45084,1.47491,0.00127092,0.00127092,0.00127092
26,1862.39,1.2529,1.47589,1.54651,0.60022,0.59314,0.56411,0.31514,1.4084,1.45935,1.50121,0.00125442,0.00125442,0.00125442
27,1935.74,1.2452,1.43208,1.54413,0.46005,0.48611,0.49807,0.22697,1.49687,1.48131,1.53948,0.00123791,0.00123791,0.00123791
28,2008.77,1.21566,1.42483,1.52056,0.55011,0.60324,0.54243,0.30073,1.31135,1.40763,1.40772,0.00122141,0.00122141,0.00122141
29,2081.67,1.2357,1.42219,1.51409,0.58334,0.40114,0.49939,0.29698,1.36131,1.351,1.49281,0.00120491,0.00120491,0.00120491
30,2154.45,1.19444,1.33885,1.48136,0.59952,0.49346,0.51327,0.28693,1.3833,1.36269,1.43329,0.0011884,0.0011884,0.0011884
31,2226.62,1.19243,1.33699,1.49872,0.35241,0.47467,0.47763,0.28402,1.39369,1.34844,1.46272,0.0011719,0.0011719,0.0011719
32,2298.82,1.23159,1.40947,1.51927,0.49191,0.43791,0.39759,0.22497,1.3584,1.45319,1.43887,0.0011554,0.0011554,0.0011554
33,2371.5,1.18259,1.34503,1.48285,0.43626,0.53758,0.5277,0.30041,1.35866,1.41053,1.46299,0.00113889,0.00113889,0.00113889
34,2444.43,1.17822,1.31761,1.48434,0.40313,0.52696,0.41987,0.27978,1.31054,1.51186,1.41721,0.00112239,0.00112239,0.00112239
35,2517.07,1.16093,1.31802,1.48539,0.63545,0.48611,0.55175,0.30791,1.40153,1.40123,1.4936,0.00110589,0.00110589,0.00110589
36,2590.34,1.14562,1.24903,1.46652,0.88026,0.46405,0.59506,0.33867,1.34485,1.24946,1.46053,0.00108938,0.00108938,0.00108938
37,2663.27,1.14265,1.23578,1.45658,0.49179,0.48203,0.5175,0.31019,1.29171,1.41861,1.42388,0.00107288,0.00107288,0.00107288
38,2736.01,1.13427,1.26898,1.44816,0.65029,0.56657,0.56661,0.33998,1.30201,1.27699,1.40267,0.00105638,0.00105638,0.00105638
39,2809.38,1.15943,1.24003,1.4772,0.57394,0.55637,0.60127,0.37106,1.24135,1.33174,1.38793,0.00103987,0.00103987,0.00103987
40,2882.82,1.11615,1.20425,1.44227,0.60633,0.65605,0.58649,0.35604,1.3358,1.34062,1.44226,0.00102337,0.00102337,0.00102337
41,2954.4,1.11763,1.22031,1.45123,0.86175,0.47581,0.56477,0.32712,1.30356,1.31477,1.41379,0.00100687,0.00100687,0.00100687
42,3023.17,1.13524,1.2154,1.45986,0.6156,0.58252,0.60936,0.32333,1.36339,1.41558,1.49522,0.000990365,0.000990365,0.000990365
43,3092.1,1.12266,1.202,1.44417,0.77013,0.5093,0.59134,0.30008,1.43752,1.39458,1.51308,0.000973861,0.000973861,0.000973861
44,3161.12,1.11329,1.20223,1.44792,0.64346,0.59722,0.69403,0.37781,1.37405,1.30619,1.46503,0.000957358,0.000957358,0.000957358
45,3229.83,1.1032,1.1339,1.42805,0.53868,0.63987,0.6218,0.34438,1.36066,1.28804,1.42901,0.000940855,0.000940855,0.000940855
46,3298.16,1.10334,1.15129,1.42961,0.60063,0.72257,0.67412,0.40627,1.23853,1.16466,1.36158,0.000924352,0.000924352,0.000924352
47,3366.78,1.09862,1.13785,1.43104,0.62834,0.66748,0.64885,0.40134,1.35712,1.27663,1.51727,0.000907848,0.000907848,0.000907848
48,3438.28,1.07306,1.11798,1.42252,0.51721,0.47141,0.56142,0.33387,1.35117,1.36628,1.46371,0.000891345,0.000891345,0.000891345
